experiment,study_title,type,authors,journal
bryan-johnson-blueprint,Acute and short-term efficacy of sauna treatment on cardiovascular function: A meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,"Cardiovascular effects of atenolol, scopolamine and their combination on healthy men in Finnish sauna baths",MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Comparison of short exposure to severe dry and wet heat in saunas,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Does the Combination of Finnish Sauna Bathing and Other Lifestyle Factors Confer Additional Health Benefits? A Review of the Evidence,REV,Health Commons,Review
bryan-johnson-blueprint,Effects of a Finnish sauna on the pharmacokinetics and haemodynamic actions of propranolol and captopril in healthy volunteers,INT,Health Commons,Journal Article
bryan-johnson-blueprint,Effects of exposure to Finnish sauna,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Effects of Post-Exercise Heat Exposure on Acute Recovery and Training-Induced Performance Adaptations: A Systematic Review,REV,Health Commons,Review
bryan-johnson-blueprint,Facts and fables about sauna,REV,Health Commons,Review
bryan-johnson-blueprint,Finnish sauna bathing does not increase or decrease the risk of cancer in men: A prospective cohort study,OBS,Health Commons,Journal Article
bryan-johnson-blueprint,Heat and Medications – Guidance for Clinicians,GUIDE,Health Commons,Guideline
bryan-johnson-blueprint,Heat exposure and drugs. A review of the effects of hyperthermia on pharmacokinetics,REV,Health Commons,Review
bryan-johnson-blueprint,Heat stress and fetal risk. Environmental limits for exercise and passive heat stress during pregnancy: a systematic review with best evidence synthesis,REV,Health Commons,Review
bryan-johnson-blueprint,Hematological Adaptations to Post-Exercise Sauna Bathing With No Fluid Intake: A Randomized Cross-Over Study,INT,Health Commons,Journal Article
bryan-johnson-blueprint,Human thermoregulation in sauna,REV,Health Commons,Review
bryan-johnson-blueprint,Maternal heat exposure and neural tube defects,OBS,Health Commons,Journal Article
bryan-johnson-blueprint,Maternal hyperthermia and the risk for neural tube defects in offspring: systematic review and meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,Most people might miss the biggest benefit of sauna,SRC,Health Commons,External Protocol
bryan-johnson-blueprint,My #1 Longevity Protocol of 2025,SRC,Health Commons,External Protocol
bryan-johnson-blueprint,My Morning Routine (2026),SRC,Health Commons,External Protocol
bryan-johnson-blueprint,Non-acute effects of passive heating interventions on cardiometabolic risk and vascular health: systematic review and meta-analysis of randomized controlled trials,MA,Health Commons,Review
bryan-johnson-blueprint,"Sauna bathing, renal function and chronic kidney disease: Cross-sectional and longitudinal findings from the KIHD study",OBS,Health Commons,Journal Article
bryan-johnson-blueprint,Suggested limits to the use of the hot tub and sauna by pregnant women,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,The effect of a single sauna exposure on spermatozoa,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,The effect of heat therapy on blood pressure and peripheral vascular function: A systematic review and meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,The effect of post-exercise heat exposure (passive heat acclimation) on exercise performance in healthy adults: a systematic review and meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,The effect of prescription and over-the-counter medications on core temperature in adults during heat stress: a systematic review and meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,The sauna and pregnancy,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Acute Finnish sauna heat exposure induces stronger immune cell than cytokine responses,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Effect of a single Finnish sauna session on white blood cell profile and cortisol levels in athletes and non-athletes,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,The Effects of Repeated Thermal Stress on the Physiological Parameters of Young Physically Active Men Who Regularly Use the Sauna: A Multifactorial Assessment,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,"Effect of a Four-Week Extreme Heat (100 ± 2 °C) Sauna Baths Program in Combination with Resistance Training on Lower Limb Strength and Body Composition: A Blinded, Randomized Study",RCT,Health Commons,Journal Article
bryan-johnson-blueprint,Effect of Waon Therapy in Individuals With Heart Failure: A Systematic Review,REV,Health Commons,Review
bryan-johnson-blueprint,Heat therapy: mechanistic underpinnings and applications to cardiovascular health,MECH,Health Commons,Review
bryan-johnson-blueprint,I think I need to be fired. I've done 232 dry sauna sessions,SRC,Health Commons,External Protocol
bryan-johnson-blueprint,Influence of genital heat stress on semen quality in humans,REV,Health Commons,Review
bryan-johnson-blueprint,"Passive heat therapy improves endothelial function, arterial stiffness and blood pressure in sedentary humans",RCT,Health Commons,Journal Article
bryan-johnson-blueprint,Sauna use as a lifestyle practice to extend healthspan,REV,Health Commons,Review
bryan-johnson-blueprint,The effects of hot-water immersion on cardiovascular and cardiorespiratory health of healthy adults: A systematic review and meta-analysis,MA,Health Commons,Review
bryan-johnson-blueprint,Benefits and risks of sauna bathing,REV,Health Commons,Review
bryan-johnson-blueprint,Cardiovascular and Other Health Benefits of Sauna Bathing: A Review of the Evidence,REV,Health Commons,Review
bryan-johnson-blueprint,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,REV,Health Commons,Review
bryan-johnson-blueprint,Effects of sauna on sperm movement characteristics of normal men measured by computer-assisted sperm analysis,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,Health effects and risks of sauna bathing,REV,Health Commons,Review
bryan-johnson-blueprint,Is sauna bathing protective of sudden cardiac death? A review of the evidence,REV,Health Commons,Review
bryan-johnson-blueprint,Seminal and molecular evidence that sauna exposure affects human spermatogenesis,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,The influence of extreme thermal stress on the physiological and psychological characteristics of young women who sporadically use the sauna: practical implications for the safe use of the sauna,MECH,Health Commons,Journal Article
bryan-johnson-blueprint,The multifaceted benefits of passive heat therapies for extending the healthspan: A comprehensive review with a particular focus on Finnish sauna,REV,Health Commons,Review
bryan-johnson-blueprint,The sauna and body fluid balance,MECH,Health Commons,Journal Article
caffeine-curfew-dose-reset,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
caffeine-curfew-dose-reset,Wearable Sleep Technology in Clinical and Research Settings,REV,Health Commons,Review
caffeine-curfew-dose-reset,"Use of Actigraphy for the Evaluation of Sleep Disorders and Circadian Rhythm Sleep-Wake Disorders: An American Academy of Sleep Medicine Systematic Review, Meta-Analysis, and GRADE Assessment",MA,Health Commons,Review
caffeine-curfew-dose-reset,Consumer sleep technology: A position statement from the National Sleep Foundation,GUIDE,Health Commons,Guideline
caffeine-curfew-dose-reset,"Deriving Accurate Nocturnal Heart Rate, rMSSD and Frequency HRV from the Oura Ring",SRC,Health Commons,Journal Article
caffeine-curfew-dose-reset,Evaluating reliability in wearable devices for sleep staging,REV,Health Commons,Review
caffeine-curfew-dose-reset,"Heart Rate Variability and Cardiac Vagal Tone in Psychophysiological Research – Recommendations for Experiment Planning, Data Analysis, and Data Reporting",GUIDE,Health Commons,Guideline
caffeine-curfew-dose-reset,"Measuring sleep: accuracy, sensitivity, and specificity of wrist actigraphy compared to polysomnography",SRC,Health Commons,Journal Article
caffeine-curfew-dose-reset,Practice parameters for the use of actigraphy in the assessment of sleep and sleep disorders: an update for 2007,GUIDE,Health Commons,Guideline
caffeine-curfew-dose-reset,The agreement between actigraphy and polysomnography in adults with chronic conditions: A systematic review and meta-analysis,MA,Health Commons,Review
caffeine-curfew-dose-reset,The role and validity of actigraphy in sleep medicine: an update,REV,Health Commons,Review
caffeine-curfew-dose-reset,Wearable technologies for developing sleep and circadian biomarkers: a summary of workshop discussions,REV,Health Commons,Review
consistent-wake-time,Acute sleep deprivation and culpable motor vehicle crash involvement,OBS,Health Commons,Journal Article
consistent-wake-time,Behavioral and psychological treatments for chronic insomnia disorder in adults: an American Academy of Sleep Medicine clinical practice guideline,GUIDE,Health Commons,Guideline
consistent-wake-time,Behavioral and psychophysiological correlates of irregularity in chronic sleep routines,OBS,Health Commons,Journal Article
consistent-wake-time,Beyond the mean: A systematic review on the correlates of daily intraindividual variability of sleep/wake patterns,REV,Health Commons,Review
consistent-wake-time,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
consistent-wake-time,Daily associations between modifiable sleep behaviors and nighttime sleep among young adult drinkers with insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians,GUIDE,Health Commons,Guideline
consistent-wake-time,Regularity and Timing of Sleep Patterns and Behavioral Health Among Adolescents,OBS,Health Commons,Journal Article
consistent-wake-time,School Start Times for Adolescents,GUIDE,Health Commons,Guideline
consistent-wake-time,Sleep Irregularity and Risk of Cardiovascular Events: The Multi-Ethnic Study of Atherosclerosis,OBS,Health Commons,Journal Article
consistent-wake-time,Sleep Irregularity and Subclinical Markers of Cardiovascular Disease: The Multi-Ethnic Study of Atherosclerosis,OBS,Health Commons,Journal Article
consistent-wake-time,Sleep Loss as a Trigger of Mood Episodes in Bipolar Disorder: Individual Differences Based on Diagnostic Subtype and Gender,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep regularity and major adverse cardiovascular events: a device-based prospective study in 72,269 UK adults",OBS,Health Commons,Journal Article
consistent-wake-time,Sleep regularity and mortality: a prospective analysis in the UK Biobank,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep regularity in healthy adolescents: Associations with sleep duration, sleep quality, and mental health",OBS,Health Commons,Journal Article
consistent-wake-time,Sleep regularity is a stronger predictor of mortality risk than sleep duration: A prospective cohort study,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep timing, sleep consistency, and health in adults: a systematic review",REV,Health Commons,Review
consistent-wake-time,Social Jetlag and Obesity,SRC,Health Commons,Journal Article
consistent-wake-time,Social jetlag: misalignment of biological and social time,OBS,Health Commons,Journal Article
consistent-wake-time,State of the science and recommendations for using wearable technology in sleep and circadian research,SRC,Health Commons,Journal Article
consistent-wake-time,The impacts of intra-individual daily sleep variability on daytime functioning and sleep architecture in healthy young adults: an experimental study,RCT,Health Commons,Journal Article
consistent-wake-time,Wearable Sleep Technology in Clinical and Research Settings,REV,Health Commons,Review
consistent-wake-time,Acute Sleep Deprivation and Risk of Motor Vehicle Crash Involvement,SRC,Health Commons,Web Page
