id,kind,name,slug,seed_file,seed_line,image_count,first_image_url,audit_confidence,evidence_note,all_image_urls,removal_decision,triple_check_note
EX057,exercise,Lateral Lunge to Balance,lateral-lunge-to-balance,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,58,5,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/027d1e45-086f-4a48-737c-231c4879ac00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/027d1e45-086f-4a48-737c-231c4879ac00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a7a04aef-4425-4ea0-5c68-dde33b0a9300/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/10f6401a-d7b2-42cb-5a98-e39db062ae00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/551a5504-d7ba-4084-e9c6-09f61df80e00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d209b5f2-c5ef-4b3a-1f64-29d8d2ff7f00/public,remove,High-confidence visual match from audit.
EX061,exercise,Drop Lunge,drop-lunge,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,62,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ca6bb078-dfb7-41e1-992b-d8d42c777700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ca6bb078-dfb7-41e1-992b-d8d42c777700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/69a0fe9c-f373-461a-87e0-f4f51b0c6600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/91d3003e-beb7-4717-8e5d-37af1ef48200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/035f8d64-69fd-4f35-5e06-7e1771870900/public,remove,High-confidence visual match from audit.
EX071,exercise,Reverse Step-Up,reverse-step-up,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,72,5,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/225d450d-44bb-44b2-df43-092ea75b9b00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/225d450d-44bb-44b2-df43-092ea75b9b00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ea188b07-0d02-4794-82c6-3e2741427a00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2a18ce72-224f-4614-19c5-0924fb024d00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d3557877-d744-4033-72fc-da0397137600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/690be924-d713-41fb-85cc-b32f5bacd400/public,remove,High-confidence visual match from audit.
EX073,exercise,Slow Eccentric Step-Down,slow-eccentric-step-down,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,74,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/13f68b0b-77a6-48cf-4ab7-c239f7611e00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/13f68b0b-77a6-48cf-4ab7-c239f7611e00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/664410b9-14b5-4f4f-655d-a06199183100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ffdedd45-60d9-4ee2-3634-ecc130e69600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a6814ce3-9ce9-4d27-da3d-1f11b4a27e00/public,remove,High-confidence visual match from audit.
EX074,exercise,Skater Step-Back,skater-step-back,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,75,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d50fe9dd-933e-445b-40ea-9b4daa29d200/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d50fe9dd-933e-445b-40ea-9b4daa29d200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e4878a22-78f1-4102-d706-624417132100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d3a4afd4-f44b-4e3f-e6b0-2ff5e4126a00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/fbce665c-2048-4a47-3854-b090e9ea5600/public,remove,High-confidence visual match from audit.
EX090,exercise,Hip Hinge Drill,hip-hinge-drill,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,91,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/386e66bf-3e29-49c8-ec66-ff30121b7700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/386e66bf-3e29-49c8-ec66-ff30121b7700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/beeb56d0-59a4-4c0f-5e34-f79003253c00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ca163f26-2235-4d4e-6834-fd57d4aa4b00/public,remove,High-confidence visual match from audit.
EX093,exercise,Bodyweight Good Morning,bodyweight-good-morning,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,94,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/587eb1bd-c15e-4b6e-14dc-aff5bdaa4000/public,medium,"Likely same flat/vector family, but less visually definitive than the EX534 example; review before deletion.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/587eb1bd-c15e-4b6e-14dc-aff5bdaa4000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/384f1cb6-9125-4f89-1700-e0b7b6504f00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6470ad1e-1178-47ed-2a1b-9c4130e3be00/public,keep,Triple-check full image set is not the same flat local-generator style; left in catalog.
EX098,exercise,Single-Leg Romanian Deadlift,single-leg-romanian-deadlift,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,99,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ef09a959-dc3c-46f3-013b-fb22ec726a00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ef09a959-dc3c-46f3-013b-fb22ec726a00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/94f52968-c288-4104-9892-dc19ecef6300/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/95c45306-b15d-4923-e0a0-7a87db34da00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e65e5e25-4f11-4724-9d55-c0ebe94cd400/public,remove,High-confidence visual match from audit.
EX136,exercise,Reverse Clamshell,reverse-clamshell,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,137,2,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e6ba18aa-66ab-4d87-bb51-08a3515dba00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e6ba18aa-66ab-4d87-bb51-08a3515dba00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/f6866fae-afb7-4dbd-25ba-5b8745614d00/public,remove,High-confidence visual match from audit.
EX293,exercise,Quadruped Shoulder Tap,quadruped-shoulder-tap,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,294,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d098839d-7eb0-4c6f-7d3c-a36c0c528700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d098839d-7eb0-4c6f-7d3c-a36c0c528700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4652f517-d1b6-4da3-38e0-c58ed2bde000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/17e8ab90-af7e-4809-17a9-42bb05db4a00/public,remove,High-confidence visual match from audit.
