feature_id,area,route_or_surface,user_story,expected_behavior,primary_evidence,existing_test_evidence,feature_status,test_coverage_status,inventory_notes,testing_loop_status,last_test_command,last_test_result,observed_errors,source_worker,tracker_updated
invite-status-api,API,GET /api/hosted-onboarding/invites/[inviteCode]/status,"As the join UI, I can refresh invite status using the current hosted app session when present.","Route decodes inviteCode, resolves the hosted app session from the request, and returns getHostedInviteStatus for the authenticated member or null.",apps/web/app/api/hosted-onboarding/invites/[inviteCode]/status/route.ts:6; apps/web/src/lib/hosted-onboarding/invite-service.ts:69,apps/web/test/hosted-onboarding-invite-status-route.test.ts:67; apps/web/test/hosted-onboarding-privy-invite-status.test.ts:51,inventoried,covered,Status redacts sensitive phone/routing fields for unmatched sessions.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/auth-dialog-provider.test.tsx apps/web/test/homepage-email-auth-button.test.tsx apps/web/test/homepage-privy-auth.test.ts apps/web/test/hosted-app-session-production-cookie.test.ts apps/web/test/hosted-app-session.test.ts apps/web/test/hosted-auth-panel.test.ts apps/web/test/hosted-onboarding-invite-send-code.test.ts apps/web/test/hosted-onboarding-invite-status-route.test.ts apps/web/test/hosted-onboarding-privy-complete-route.test.ts apps/web/test/hosted-onboarding-privy-invite-status.test.ts apps/web/test/hosted-onboarding-privy-service.test.ts apps/web/test/hosted-onboarding-session-logout-route.test.ts apps/web/test/hosted-phone-auth-support.test.ts apps/web/test/hosted-phone-auth.test.ts apps/web/test/hosted-phone-country-code-boundary.test.ts apps/web/test/hosted-phone-country-hint.test.ts apps/web/test/join-invite-islands.test.ts apps/web/test/join-invite-page-view.test.ts apps/web/test/join-invite-success-client.test.ts apps/web/test/join-page.test.ts apps/web/test/lp-auth-controls.test.tsx apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,05-onboarding-identity,2026-06-21
privy-completion-api,API,POST /api/hosted-onboarding/privy/complete,"As a Privy-verified user, I can complete hosted onboarding and receive the next stage plus app session.","Route checks origin, requires Privy completion session, resolves auth method/timezone/invite, completes verification, reads status and consent, issues app-session cookie, and returns JSON.",apps/web/app/api/hosted-onboarding/privy/complete/route.ts:29; apps/web/app/api/hosted-onboarding/privy/complete/route.ts:102,apps/web/test/hosted-onboarding-privy-complete-route.test.ts:91; apps/web/test/homepage-privy-auth.test.ts:21,inventoried,covered,Multiple verified methods require authIntent.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/auth-dialog-provider.test.tsx apps/web/test/homepage-email-auth-button.test.tsx apps/web/test/homepage-privy-auth.test.ts apps/web/test/hosted-app-session-production-cookie.test.ts apps/web/test/hosted-app-session.test.ts apps/web/test/hosted-auth-panel.test.ts apps/web/test/hosted-onboarding-invite-send-code.test.ts apps/web/test/hosted-onboarding-invite-status-route.test.ts apps/web/test/hosted-onboarding-privy-complete-route.test.ts apps/web/test/hosted-onboarding-privy-invite-status.test.ts apps/web/test/hosted-onboarding-privy-service.test.ts apps/web/test/hosted-onboarding-session-logout-route.test.ts apps/web/test/hosted-phone-auth-support.test.ts apps/web/test/hosted-phone-auth.test.ts apps/web/test/hosted-phone-country-code-boundary.test.ts apps/web/test/hosted-phone-country-hint.test.ts apps/web/test/join-invite-islands.test.ts apps/web/test/join-invite-page-view.test.ts apps/web/test/join-invite-success-client.test.ts apps/web/test/join-page.test.ts apps/web/test/lp-auth-controls.test.tsx apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,05-onboarding-identity,2026-06-21
session-logout-api,API,POST /api/hosted-onboarding/session/logout,"As a signed-in hosted user, I can sign out of my hosted app session.","Route checks mutation origin, revokes the matching hosted app session by hashed token, and appends a clear-cookie header.",apps/web/app/api/hosted-onboarding/session/logout/route.ts:5; apps/web/src/lib/hosted-onboarding/app-session.ts:133,apps/web/test/hosted-onboarding-session-logout-route.test.ts:33; apps/web/test/hosted-app-session.test.ts:237,inventoried,covered,Join phone island also uses logout before session recovery refresh.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/auth-dialog-provider.test.tsx apps/web/test/homepage-email-auth-button.test.tsx apps/web/test/homepage-privy-auth.test.ts apps/web/test/hosted-app-session-production-cookie.test.ts apps/web/test/hosted-app-session.test.ts apps/web/test/hosted-auth-panel.test.ts apps/web/test/hosted-onboarding-invite-send-code.test.ts apps/web/test/hosted-onboarding-invite-status-route.test.ts apps/web/test/hosted-onboarding-privy-complete-route.test.ts apps/web/test/hosted-onboarding-privy-invite-status.test.ts apps/web/test/hosted-onboarding-privy-service.test.ts apps/web/test/hosted-onboarding-session-logout-route.test.ts apps/web/test/hosted-phone-auth-support.test.ts apps/web/test/hosted-phone-auth.test.ts apps/web/test/hosted-phone-country-code-boundary.test.ts apps/web/test/hosted-phone-country-hint.test.ts apps/web/test/join-invite-islands.test.ts apps/web/test/join-invite-page-view.test.ts apps/web/test/join-invite-success-client.test.ts apps/web/test/join-page.test.ts apps/web/test/lp-auth-controls.test.tsx apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,05-onboarding-identity,2026-06-21
settings-passkey-create,auth component,HostedPasskeySettings,"As a member, I would create a passkey from settings.","Component renders only when authenticated, opens a Privy passkey dialog when appId exists, calls linkWithPasskey, shows success or error, and refreshes on Done.","apps/web/src/components/settings/hosted-passkey-settings.tsx:20-51,54-152",apps/web/src/components/settings/hosted-passkey-settings.tsx:20,dead/unreachable,missing,Reachability triage: component exists but is unmounted from current settings routes. Decide whether to wire into /settings with Privy coverage or retire/delete the stale component.,blocked_no_existing_test,not_run,"Blocked: Reachability gap: HostedPasskeySettings is not imported by any current app route or test; /settings omits the passkey UI, so there is no in-app path to create a passkey from this component.","Reachability gap: HostedPasskeySettings is not imported by any current app route or test; /settings omits the passkey UI, so there is no in-app path to create a passkey from this component.",06-billing-account-settings,2026-06-21
billing-plan-catalog,billing,shared hosted plan definitions,"As a member, I see canonical Pulse and Edge plan behavior.","Plan codes are Pulse and Edge monthly; Pulse is 800 cents, Edge is 2000 cents; monthly AI usage allowances are 10000000 and 25000000 USD micros; Starter usage is a non-expiring grant, not a plan.","apps/web/src/lib/hosted-onboarding/billing-plans.ts:1-40,76-98","apps/web/test/hosted-onboarding-billing-plans.test.ts:32,43,59,86,118",inventoried,covered,"Capability helpers gate paid plan checkout, upgrades, and scheduled switches.",passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
settings-billing-summary,billing,/settings Billing section,"As a member, I can see and manage my current subscription state.","Billing UI shows non-expiring Starter access or the current paid plan, pending plan changes, usage recovery, and only eligible Checkout, upgrade, switch, or Stripe portal actions.","apps/web/src/components/settings/hosted-billing-settings.tsx:24-31,33-94; apps/web/src/components/settings/hosted-billing-settings-action.tsx:196-237","apps/web/test/hosted-billing-settings.test.tsx:94,109,166,199,219,248,283",inventoried,covered,Eligibility is computed server-side in settings/page.tsx before rendering.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
settings-billing-portal,billing api,POST /api/settings/billing/portal,"As a member, I can open Stripe billing and invoices.",Same-origin authenticated non-suspended members with a stored Stripe customer receive a Stripe Billing Portal URL returning to /settings; missing customer is a 409.,apps/web/app/api/settings/billing/portal/route.ts:10-45; apps/web/src/components/settings/hosted-billing-settings-action.tsx:103-112,"apps/web/test/settings-billing-portal-route.test.ts:64,86,110",inventoried,covered,Portal remains available for canceled members with a stored customer per tests.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
settings-billing-start-paid-plan,billing api,POST /api/settings/billing/checkout,"As a Starter member, I can start paid Pulse or Edge.","Route validates the selected public plan, requires current consent and Starter access, creates or resumes an owned standard Stripe Checkout Session, and returns the provider URL without mutating paid entitlement early.",apps/web/app/api/settings/billing/checkout/route.ts; apps/web/src/lib/hosted-onboarding/billing-service.ts; apps/web/src/components/hosted-onboarding/client-api.ts,apps/web/test/hosted-onboarding-billing-checkout-route.test.ts; apps/web/test/hosted-onboarding-client-api.test.ts,inventoried,covered,Starter-to-paid conversion reuses ordinary standard Checkout; no separate trial continuation state exists.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
settings-billing-switch-pulse,billing api,POST /api/settings/billing/switch-to-pulse,"As a paid Edge member, I can schedule a switch to Pulse.","Route does not read a target-plan body; service requires active paid Edge with Stripe refs, creates or updates a Stripe subscription schedule at current period end, persists pending Pulse fields, and is idempotent for compatible schedules.","apps/web/app/api/settings/billing/switch-to-pulse/route.ts:8-20; apps/web/src/lib/hosted-onboarding/billing-plan-switch-to-pulse-service.ts:63-108,130-218","apps/web/test/settings-billing-switch-to-pulse-route.test.ts:52,78; apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts:114,192,468",inventoried,covered,UI hides a second switch action when pending switch fields already exist.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
settings-billing-upgrade-edge,billing api,POST /api/settings/billing/upgrade-plan,"As a paid Pulse member, I can upgrade to Edge.","Route accepts only targetPlanCode launch_edge_monthly; service requires active access and Stripe refs, updates the Stripe subscription with pending payment behavior, returns pending_payment with portal URL if not applied, otherwise reconciles local billing and wakes runtime.","apps/web/app/api/settings/billing/upgrade-plan/route.ts:10-35; apps/web/src/lib/hosted-onboarding/billing-plan-change-service.ts:47-110,119-185,197-243","apps/web/test/settings-billing-upgrade-plan-route.test.ts:51,164; apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts:136,597,870",inventoried,covered,UI redirects to billing portal on pending_payment.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,06-billing-account-settings,2026-06-21
