Library,ID,Name,Category,Target Area,Level,Equipment,Position,Modality,Commonness Tier,Short Description,Source URL(s),Steps,Best Practices,Images
Exercise,EX001,Bodyweight Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,None,Standing,Strength,Very common,"Stand hip-width, sit hips back and down, then stand tall while knees track over toes.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand with feet about shoulder-width apart and toes slightly turned out if comfortable. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Person standing in bodyweight squat setup with feet shoulder-width, chest tall, and knees soft. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b07d650b-2f8b-41b2-c315-63bc169be200/public ;; Bottom position | Person sitting hips back into a bodyweight squat with heels flat and knees tracking toes. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/54fe4a6f-b80b-4e86-646a-7082b8ba8600/public ;; Form check | Person holding a clean squat with chest tall, heels down, and knees tracking toes. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/68adb210-af29-457d-cce1-1103ca2ea400/public"
Exercise,EX002,Chair Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,Chair,Standing,Strength,Very common,"Lower hips toward a chair, lightly tap it, then stand using legs instead of momentum.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,1) Stand in front of a sturdy chair or box with feet about shoulder-width apart. 2) Reach your hips back and bend your knees until you lightly touch the chair or sit with control. 3) Keep your chest lifted and feet planted. 4) Press through the floor to stand tall without using momentum.,"1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Use only a stable surface that will not slide, tip, or open unexpectedly. 5) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Person standing in front of a sturdy chair with feet planted, chest tall, and arms forward. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/20def0d6-d5c5-432f-c414-d28e8ecd5400/public ;; Chair tap | Person reaching hips back to lightly tap the chair while keeping chest tall and feet flat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ee04ec9d-9164-4f47-9de2-514488500a00/public"
Exercise,EX003,Sit-to-Stand,Lower Body Strength,"Quads, glutes, hips",Beginner,Chair,Seated/Standing,Strength,Very common,"Sit on a chair, plant feet, lean slightly forward, and stand up under control.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Start seated or standing as the movement requires, keeping your spine tall and feet grounded. Set up your chair before you start and make sure it will not slide or tip. 2) Brace lightly and begin the movement slowly so you understand the range. 3) Sit on a chair, plant feet, lean slightly forward, and stand up under control. 4) Return to the start position and repeat for the planned reps, time, or side.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.",Setup | Person sitting near the front edge of a sturdy chair with feet planted and chest tall. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/49719035-3eed-4cf9-2628-3cfb59bdb600/public ;; Rise | Person leaning forward from the chair and pressing through planted feet to stand. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c5af575e-62b4-4b09-d265-f6468e86b900/public ;; Finish | Person standing tall in front of the chair with hips fully up and feet planted. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d4dced10-7694-4d27-697f-25d550e11000/public
Exercise,EX004,Box Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,Box or chair,Standing,Strength,Common,"Squat to a fixed target, pause briefly, then drive through mid-foot to stand.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,1) Stand in front of a sturdy chair or box with feet about shoulder-width apart. 2) Reach your hips back and bend your knees until you lightly touch the chair or sit with control. 3) Keep your chest lifted and feet planted. 4) Press through the floor to stand tall without using momentum.,"1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Use only a stable surface that will not slide, tip, or open unexpectedly. 5) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Adult stands in front of a sturdy plyo box with arms forward, feet shoulder-width, chest tall, and feet planted. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/0c8c4b57-ec78-488a-6a29-d199f62de000/public ;; Controlled touch | Adult performs a controlled box squat, hips reaching back and knees tracking toes as they lightly touch the box. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/086d600d-85fd-410b-310e-1db1d61bbb00/public ;; Stand tall | Adult stands tall after the box squat with feet planted and a cue to drive through the mid-foot. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c861edb9-0241-4718-a5f1-a4123624e200/public"
Exercise,EX005,Wall Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,Wall,Standing,Strength,Common,"Slide down a wall into a shallow squat, then press through heels to return upright.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand with feet about shoulder-width apart and toes slightly turned out if comfortable. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Use only a stable surface that will not slide, tip, or open unexpectedly. 5) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Instructional illustration of a person standing tall with their back against a wall, feet planted shoulder-width apart before a wall squat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7ea235ae-0d35-4e53-3644-bb860e81d900/public ;; Shallow squat | Instructional illustration of a person sliding slightly down a wall into a shallow squat with knees tracking over toes and heels grounded. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/15871a5c-e332-4a95-977c-473e8816e600/public ;; Return upright | Instructional illustration of a person pressing through both feet to stand tall against the wall at the end of a wall squat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/73d8280d-0822-42f9-a335-f4530f7b4800/public"
Exercise,EX006,Prisoner Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,None,Standing,Strength,Common,"Squat with hands behind head, keeping chest tall and elbows open.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand with feet about shoulder-width apart and place your hands lightly behind your head. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Adult standing tall for a prisoner squat with hands behind the head, elbows open, feet shoulder-width, and chest lifted. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b3492056-4c17-4a22-1cce-3ead22a07b00/public ;; Controlled depth | Adult at the bottom of a prisoner squat with hips back, knees tracking over toes, heels grounded, and hands behind the head. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/aff39a53-4e99-4939-d29c-e3e4b1487e00/public ;; Tall finish | Adult standing tall after a prisoner squat with whole-foot pressure, hips extended, chest lifted, and hands behind the head. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/753d4c3c-6d52-4ef4-2965-1ae32c82c500/public"
Exercise,EX007,Overhead Reach Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,None,Standing,Strength,Common,"Squat while reaching arms overhead, keeping ribs down and torso long.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand with feet about shoulder-width apart and reach both arms overhead. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Keep the neck relaxed and avoid forcing end range. 5) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Adult stands with feet shoulder-width apart and both arms reaching overhead, showing the start position for an overhead reach squat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/9e7122f4-530c-4aa7-9ab8-c018572d5b00/public ;; Squat | Adult lowers into a controlled squat with arms overhead, hips back, knees tracking toes, and heels grounded. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a13a51b6-19a1-493c-b335-16cc8fc93600/public ;; Stand tall | Adult returns to standing with arms overhead, pressing through the whole foot and finishing tall with glutes engaged. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b8dfc32b-246c-458d-7241-6308ed768c00/public"
Exercise,EX008,Narrow-Stance Squat,Lower Body Strength,"Quads, glutes, hips",Intermediate,None,Standing,Strength,Variant,"Squat with feet closer than hip-width, controlling knees and torso position.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand with feet closer than hip-width apart, keeping your balance steady. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup | Adult stands tall on a mat with feet closer than hip-width apart, torso braced, chest tall, and feet grounded for the narrow-stance squat setup. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/aaee4800-9d4a-40e3-a918-bbdbb697c100/public ;; Controlled lower | Adult lowers into a controlled narrow-stance squat with hips back, knees tracking toes, and heels grounded while arms reach forward for balance. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/24e7d337-8c85-4873-e72c-19742c226000/public ;; Stand tall | Adult returns to a tall standing finish with feet close, whole foot grounded, and glutes engaged at the top of the narrow-stance squat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/172e25e1-f807-4725-dcb2-9c5e333a8000/public"
Exercise,EX009,Wide-Stance Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,None,Standing,Strength,Common,"Use a wider stance, sit down between the hips, and stand without knees caving inward.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand wider than shoulder-width with toes turned slightly out. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Setup stance | A gender-neutral adult stands barefoot in a wide stance with toes slightly turned out and trunk braced. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a8990791-11be-4b76-5b4f-87034c061700/public ;; Controlled bottom | The adult lowers into a wide-stance squat with hips back, heels grounded, and knees tracking in line with the toes. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/cae91e01-4f4c-44f0-27e6-c38d26bed100/public ;; Stand tall | The adult returns to standing tall from the wide stance with whole-foot pressure and hips extended. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8903abb5-5ca0-4f72-e843-9b8b991ea200/public"
Exercise,EX010,Sumo Squat,Lower Body Strength,"Quads, glutes, hips",Beginner,None,Standing,Strength,Very common,Stand wide with toes turned out; lower hips straight down and squeeze glutes to rise.,https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/; https://acsm.org/education-resources/trending-topics-resources/physical-activity-guidelines/,"1) Stand wider than shoulder-width with toes turned slightly out. 2) Brace your trunk, bend your knees, and sit your hips back and down. 3) Lower to a comfortable depth while keeping your heels grounded. 4) Press through your whole foot to stand tall and squeeze your glutes at the top.","1) Keep knees tracking the same direction as your toes. 2) Use your whole foot instead of rolling onto toes or collapsing arches. 3) Choose a range where you can keep control and balance. 4) Move under control, breathe steadily, and stop if you feel sharp pain, numbness, or joint pinching.","Sumo setup | Adult standing barefoot in a wide sumo squat setup with toes turned out and hands clasped at the chest. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/47082c60-3de7-4902-7f97-9504e1d64a00/public ;; Controlled descent | Adult lowering into a sumo squat with hips back, knees tracking over toes, and feet grounded on the mat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8c0f3f8f-b86a-413b-dc2f-9af94aabcc00/public ;; Bottom and rise | Adult holding the bottom of a sumo squat and preparing to rise with chest tall and feet planted. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7d796ad9-aa8b-4c05-742c-3172f9f7a300/public"
