Library,ID,Name,Category,Target Area,Level,Equipment,Position,Modality,Commonness Tier,Short Description,Source URL(s),Steps,Best Practices,Images
Exercise,EX751,Dumbbell Goblet Squat,Lower Body Strength,"Quads, glutes, core",Beginner,Dumbbell,Standing,Strength,Common,"An at-home strength exercise for quads, glutes, core using dumbbell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Stand with feet about shoulder-width apart and hold one dumbbell vertically at chest height. 2) Brace your trunk, sit your hips back, and bend your knees until you reach a comfortable squat depth. 3) Press through your whole foot to stand tall without letting the dumbbell pull you forward. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Keep the dumbbell close to your chest, knees tracking over toes, and ribs stacked over hips. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Standing setup | Adult demonstrating Dumbbell Goblet Squat at the standing setup step: balanced standing setup. Must not show squat depth, dumbbell horizontal, two weights, heels lifted, knees collapsed. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ac7f748a-fcc1-40ed-5637-1a8017fb5e00/public ;; Squat | Adult demonstrating Dumbbell Goblet Squat at the squat step: controlled squat depth with knees aligned. Must not show heels lifted, knees caving, rounded back, dumbbell between legs, chair, extra weights. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e1a3ae4e-ef4e-41dc-4324-392537c34d00/public"
Exercise,EX752,Double-Dumbbell Front Squat,Lower Body Strength,"Quads, glutes, upper back",Intermediate,Dumbbells,Standing,Strength,Common,"An at-home strength exercise for quads, glutes, upper back using dumbbells.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Stand tall with two dumbbells held at the fronts of your shoulders and elbows slightly forward. 2) Lower into a squat by bending your hips and knees while keeping your chest lifted. 3) Drive through the floor to stand and squeeze your glutes at the top. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Do not let your elbows collapse; keep your torso tall and use a load you can control. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.",Front-rack setup | Adult demonstrating Double-Dumbbell Front Squat at the front-rack setup step: Elbows slightly forward with neutral wrists. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/03b1108d-6023-4c49-3be8-19d030876d00/public ;; Squat bottom | Adult demonstrating Double-Dumbbell Front Squat at the squat bottom step: Thighs approach parallel at controlled depth. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3f4924f0-9cba-4daf-811a-c27cb02afb00/public ;; Stand tall | Adult demonstrating Double-Dumbbell Front Squat at the stand tall step: Tall glute-engaged finish without leaning back. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/84c70f49-0181-4cb5-ceac-683449a72a00/public
Exercise,EX753,Double-Dumbbell Suitcase Squat,Lower Body Strength,"Quads, glutes, grip",Beginner,Dumbbells,Standing,Strength,Common,"An at-home strength exercise for quads, glutes, grip using dumbbells.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Stand with feet hip-width to shoulder-width apart and hold a dumbbell at each side like suitcases. 2) Push your hips back and bend your knees, keeping the weights beside your thighs. 3) Stand up by pressing evenly through both feet and keeping your shoulders level. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Avoid shrugging the weights; keep arms long and knees aligned with the middle toes. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Suitcase setup | Adult demonstrating Double-Dumbbell Suitcase Squat at the suitcase setup step: Shoulders down, ribs stacked, knees soft. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4ed972cc-30f8-412e-f1df-82594c4b5100/public ;; Bottom squat | Adult demonstrating Double-Dumbbell Suitcase Squat at the bottom squat step: Thighs approach parallel, knees track middle toes, spine long. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8283211c-1685-43b7-6a09-78696c424200/public"
Exercise,EX754,Single-Dumbbell Offset Squat,Lower Body Strength,"Quads, glutes, obliques",Intermediate,Dumbbell,Standing,Strength,Variant,"An at-home strength exercise for quads, glutes, obliques using dumbbell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Hold one dumbbell at one shoulder or in one hand by your side and stand with feet shoulder-width apart. 2) Squat down slowly while resisting the urge to lean or twist toward the weight. 3) Stand back up, finish tall, then switch sides after the planned reps. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Use a lighter load than a normal squat and keep both hips level throughout. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.",Offset rack setup | Adult demonstrating Single-Dumbbell Offset Squat at the offset rack setup step: Tall asymmetric rack. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2a1413ff-5f23-4eca-5c38-0387d7254800/public ;; Offset squat bottom | Adult demonstrating Single-Dumbbell Offset Squat at the offset squat bottom step: Balanced squat below parallel if mobility allows. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/40bee9bd-b933-4b8b-ec08-ee0367ec6900/public
Exercise,EX755,Dumbbell Sumo Squat,Lower Body Strength,"Inner thighs, glutes, quads",Beginner,Dumbbell,Standing,Strength,Common,"An at-home strength exercise for inner thighs, glutes, quads using dumbbell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Take a wide stance with toes turned slightly out and hold one dumbbell vertically between your legs. 2) Bend your knees and hips, lowering the dumbbell straight down between your feet. 3) Push the floor apart with your feet as you stand back up. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Keep your knees following your toes and avoid rounding your back at the bottom. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Wide-stance setup | Adult demonstrating Dumbbell Sumo Squat at the wide-stance setup step: Arms long, knees soft and aligned. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/9b0eb7dd-3b4c-4a2a-9eb1-ad568a418300/public ;; Sumo-squat bottom | Adult demonstrating Dumbbell Sumo Squat at the sumo-squat bottom step: Wide squat with controlled depth. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/850d6e8d-e3e6-4825-bba4-8c70fd434d00/public ;; Stand wide | Adult demonstrating Dumbbell Sumo Squat at the stand wide step: Tall finish without narrowing feet. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d8c274c5-5177-4227-4456-756dad94c500/public"
Exercise,EX756,Dumbbell Squat to Press,Lower Body Strength,"Quads, glutes, shoulders, core",Intermediate,Dumbbells,Standing,Strength,Common,"An at-home strength exercise for quads, glutes, shoulders, core using dumbbells.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Hold dumbbells at your shoulders with feet about shoulder-width apart. 2) Squat down under control, then stand powerfully and press the dumbbells overhead as you finish the stand. 3) Lower the dumbbells back to your shoulders before starting the next squat. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Treat it as one smooth movement, but do not arch your low back during the overhead press. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Rack setup | Adult demonstrating Dumbbell Squat to Press at the rack setup step: Forearms vertical, ribs stacked. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/96cdbdb7-0db1-488b-0793-8a144eee3b00/public ;; Bottom squat | Adult demonstrating Dumbbell Squat to Press at the bottom squat step: Knees track toes, torso controlled. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2b1f7c03-4bbc-4d40-b26b-e90d05812800/public ;; Overhead press | Adult demonstrating Dumbbell Squat to Press at the overhead press step: Arms straight, no back arch. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/9bc7e094-cf71-4c22-96e7-20c804d87f00/public ;; Return to rack | Adult demonstrating Dumbbell Squat to Press at the return to rack step: Dumbbells finish at shoulders. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ca668be4-1ca9-43be-3d24-fdf633d92700/public"
Exercise,EX757,Kettlebell Goblet Squat,Lower Body Strength,"Quads, glutes, core",Beginner,Kettlebell,Standing,Strength,Common,"An at-home strength exercise for quads, glutes, core using kettlebell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Hold the kettlebell by the horns close to your chest and set your feet shoulder-width apart. 2) Brace your core, sit down between your hips, and keep your chest facing forward. 3) Stand by driving through your feet and bringing your hips fully underneath you. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Keep the kettlebell close and let your elbows travel inside your knees if comfortable. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.",Goblet setup | Adult demonstrating Kettlebell Goblet Squat at the goblet setup step: Tall braced start. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c82b9f24-9d55-4661-a1d1-cd1034595400/public ;; Squat bottom | Adult demonstrating Kettlebell Goblet Squat at the squat bottom step: Deep controlled goblet squat. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/37b27009-c69a-4551-9761-725279b5b900/public
Exercise,EX758,Kettlebell Sumo Deadlift,Lower Body Strength,"Glutes, hamstrings, inner thighs",Beginner,Kettlebell,Standing,Strength,Common,"An at-home strength exercise for glutes, hamstrings, inner thighs using kettlebell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Place a kettlebell on the floor between your feet and stand wide with toes slightly turned out. 2) Hinge at your hips, bend your knees, and grip the handle with both hands. 3) Stand by pushing the floor away, then lower the kettlebell back between your feet with the same path. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Keep your back neutral and make the lift come from hips and legs, not from yanking with your arms. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.",Wide hinge setup | Adult demonstrating Kettlebell Sumo Deadlift at the wide hinge setup step: neutral spine from head to pelvis. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4bb506f8-7d07-4eea-48cc-f8fd9032c200/public ;; Tall deadlift finish | Adult demonstrating Kettlebell Sumo Deadlift at the tall deadlift finish step: ribs stacked over pelvis without leaning back. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/699019a1-9507-4f67-f3e1-38da61cf7800/public
Exercise,EX759,Kettlebell Deadlift,Lower Body Strength,"Glutes, hamstrings, back",Beginner,Kettlebell,Standing,Strength,Common,"An at-home strength exercise for glutes, hamstrings, back using kettlebell.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Place the kettlebell between your feet and stand with feet hip-width apart. 2) Push your hips back, soften your knees, and grab the handle with a flat back. 3) Drive your hips forward to stand, then hinge back down until the kettlebell returns to the floor. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Keep the bell close to your body and pause if you feel your lower back rounding. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Bottom setup | Adult demonstrating Kettlebell Deadlift at the bottom setup step: hips above knees, long spine, both hands symmetrically on one handle. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c198be62-9eb2-4e32-86c6-2ea84df94e00/public ;; Lockout | Adult demonstrating Kettlebell Deadlift at the lockout step: ribs stacked over pelvis with no backward lean. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/04fad754-c77e-4521-0b97-ac0665431600/public"
Exercise,EX760,Dumbbell Deadlift,Lower Body Strength,"Glutes, hamstrings, back",Beginner,Dumbbells,Standing,Strength,Common,"An at-home strength exercise for glutes, hamstrings, back using dumbbells.",https://www.acefitness.org/resources/everyone/exercise-library/; https://acsm.org/resistance-training-guidelines-update-2026/,"1) Hold two dumbbells in front of your thighs with feet hip-width apart. 2) Hinge at your hips and bend your knees slightly, sliding the dumbbells down near your legs. 3) Stand tall by pressing through your feet and squeezing your glutes. 4) Reset your position before the next rep, or keep the same position if you are holding for time.","1) Think hips back first, not knees forward first, and keep the dumbbells close. 2) Keep the movement controlled, breathe steadily, and stop or regress the exercise if you feel sharp pain or lose form.","Standing setup | Adult demonstrating Dumbbell Deadlift at the standing setup step: Both feet flat; dumbbells near thighs; hips and knees extended softly; spine neutral. Must not show hinge, bent elbows, weights at sides, kettlebells. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/0a91b09f-83bd-4dae-a4a4-f1f5cc872d00/public ;; Hip hinge | Adult demonstrating Dumbbell Deadlift at the hip hinge step: Hips travel backward; knees bend slightly; torso hinges as one long unit; both feet and heels planted; arms vertical. Must not show squat, rounded back, weights far forward, bent elbows, heels lifted. | https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4a50f618-e589-4793-0bbe-5fe1a6fd9e00/public"
